year,count,mean,median,std,min,max
2016,111,0.3572161087560946,0.3708340036751913,0.08171872080502213,0.08792268906500295,0.5378240479701419
2017,125,0.36433474178277014,0.36654188370556073,0.08191790768560994,0.07329803188128722,0.5591478458161401
2018,40,0.3791405827488798,0.3810600150206171,0.07282446356958161,0.2378638315157428,0.526003399866429
2019,48,0.3854716672264751,0.39940492519082627,0.06885850773375944,0.23300967942559558,0.5171070496803378
2020,64,0.38912736860648256,0.3906065323790114,0.08333760558554776,0.2035726546444813,0.551177654150295
2021,98,0.3886729365997262,0.3905323103267212,0.09515580868758983,0.11138610075116559,0.7121867713677479
2022,102,0.39455621375349803,0.3905142115163878,0.08109073395257523,0.15910778006913395,0.6003662298564036
2023,90,0.38109271855927623,0.3796703311758546,0.07858721183347625,0.1688720205620055,0.6583641372531737
2024,140,0.3817940874625946,0.3857114200797404,0.07613884676531082,0.1449700218835055,0.5652846492779449
2025,163,0.38167622702753545,0.38855375213153065,0.08027001185994537,0.050142028326557696,0.5747899060489854
2026,36,0.40117602891771803,0.3890433913313089,0.08634222308425968,0.24050750231086765,0.6698190300864599
